variant_id,bug_type,op,a,b,expected_c,actual_c,expected_flags,actual_flags,mismatch_c,mismatch_flags
clean,NONE,2,0,0,0,0,0,0,0,0
clean,NONE,3,0,1,1,1,0,0,0,0
clean,NONE,0,0,255,255,255,0,0,0,0
clean,NONE,3,0,254,254,254,0,0,0,0
clean,NONE,2,0,128,0,0,0,0,0,0
clean,NONE,4,0,127,127,127,0,0,0,0
clean,NONE,2,0,64,0,0,0,0,0,0
clean,NONE,0,0,63,63,63,0,0,0,0
clean,NONE,2,0,170,0,0,0,0,0,0
clean,NONE,0,0,85,85,85,0,0,0,0
clean,NONE,2,1,0,0,0,0,0,0,0
clean,NONE,0,1,1,2,2,0,0,0,0
clean,NONE,3,1,255,255,255,0,0,0,0
clean,NONE,0,1,254,255,255,0,0,0,0
clean,NONE,0,1,128,129,129,0,0,0,0
clean,NONE,4,1,127,126,126,0,0,0,0
clean,NONE,0,1,64,65,65,0,0,0,0
clean,NONE,4,1,63,62,62,0,0,0,0
clean,NONE,0,1,170,171,171,0,0,0,0
clean,NONE,2,1,85,1,1,0,0,0,0
clean,NONE,4,255,0,255,255,0,0,0,0
clean,NONE,1,255,1,254,254,0,0,0,0
clean,NONE,4,255,255,0,0,0,0,0,0
clean,NONE,0,255,254,253,253,0,0,0,0
clean,NONE,4,255,128,127,127,0,0,0,0
clean,NONE,3,255,127,255,255,0,0,0,0
clean,NONE,2,255,64,64,64,0,0,0,0
clean,NONE,1,255,63,192,192,0,0,0,0
clean,NONE,0,255,170,169,169,0,0,0,0
clean,NONE,3,255,85,255,255,0,0,0,0
clean,NONE,4,254,0,254,254,0,0,0,0
clean,NONE,0,254,1,255,255,0,0,0,0
clean,NONE,1,254,255,255,255,0,0,0,0
clean,NONE,1,254,254,0,0,0,0,0,0
clean,NONE,2,254,128,128,128,0,0,0,0
clean,NONE,0,254,127,125,125,0,0,0,0
clean,NONE,1,254,64,190,190,0,0,0,0
clean,NONE,1,254,63,191,191,0,0,0,0
